class, NCLOC, DCP, NOCom,WMC
./src/main/java/org/jfree/chart/block/Block.java,13,87.13,6,10
./src/main/java/org/jfree/chart/block/BlockBorder.java,101,52.8,9,24
./src/main/java/org/jfree/chart/block/BlockContainer.java,126,50.39,10,28
./src/main/java/org/jfree/chart/block/BlockFrame.java,9,85,7,7
./src/main/java/org/jfree/chart/block/BlockParams.java,30,76,2,7
./src/main/java/org/jfree/chart/block/BlockResult.java,15,79.17,2,7
./src/main/java/org/jfree/chart/block/BorderArrangement.java,382,25.24,6,85
./src/main/java/org/jfree/chart/block/CenterArrangement.java,140,53.33,5,35
./src/main/java/org/jfree/chart/block/ColorBlock.java,72,58.86,7,15
./src/main/java/org/jfree/chart/block/ColumnArrangement.java,208,41.57,6,48
./src/main/java/org/jfree/chart/block/EmptyBlock.java,33,70.27,5,9
./src/main/java/org/jfree/chart/block/EntityBlockParams.java,4,92.59,3,8
./src/main/java/org/jfree/chart/block/EntityBlockResult.java,5,90.57,3,6
./src/main/java/org/jfree/chart/block/FlowArrangement.java,234,43.07,7,51
./src/main/java/org/jfree/chart/block/GridArrangement.java,242,40.69,7,49
./src/main/java/org/jfree/chart/block/LabelBlock.java,179,53.26,14,31
./src/main/java/org/jfree/chart/block/LengthConstraintType.java,6,88.46,5,6
./src/main/java/org/jfree/chart/block/LineBorder.java,118,44.86,11,23
./src/main/java/org/jfree/chart/block/RectangleConstraint.java,149,53.44,7,24
./src/main/java/org/jfree/chart/block/Size2D.java,59,60.4,2,16
./src/main/java/org/jfree/chart/ChartColor.java,70,53.02,3,6
./src/main/java/org/jfree/chart/ChartElement.java,4,91.67,2,7
./src/main/java/org/jfree/chart/ChartElementVisitor.java,4,91.49,2,7
./src/main/java/org/jfree/chart/ChartFactory.java,1000,46.52,22,300
./src/main/java/org/jfree/chart/ChartHints.java,25,73.12,4,11
./src/main/java/org/jfree/chart/ChartRenderingInfo.java,97,58.01,7,33
./src/main/java/org/jfree/chart/ChartTheme.java,4,92.16,5,6
./src/main/java/org/jfree/chart/ChartTransferable.java,102,55.84,7,29
./src/main/java/org/jfree/chart/ChartUtils.java,235,62.7,10,102
./src/main/java/org/jfree/chart/date/MonthConstants.java,15,76.92,5,19
./src/main/java/org/jfree/chart/date/SerialDate.java,355,58.53,8,142
./src/main/java/org/jfree/chart/date/SpreadsheetDate.java,175,56.79,6,64
./src/main/java/org/jfree/chart/Drawable.java,6,86.05,2,7
./src/main/java/org/jfree/chart/encoders/EncoderUtil.java,53,70.22,2,59
./src/main/java/org/jfree/chart/encoders/ImageEncoder.java,13,86.32,3,12
./src/main/java/org/jfree/chart/encoders/ImageEncoderFactory.java,52,63.64,4,45
./src/main/java/org/jfree/chart/encoders/ImageFormat.java,6,88.46,3,10
./src/main/java/org/jfree/chart/encoders/SunJPEGEncoderAdapter.java,59,62.18,5,16
./src/main/java/org/jfree/chart/encoders/SunPNGEncoderAdapter.java,36,69.23,4,12
./src/main/java/org/jfree/chart/entity/AxisEntity.java,79,58.64,10,23
./src/main/java/org/jfree/chart/entity/CategoryItemEntity.java,65,62.86,11,16
./src/main/java/org/jfree/chart/entity/CategoryLabelEntity.java,45,61.54,8,13
./src/main/java/org/jfree/chart/entity/ChartEntity.java,181,51.21,9,54
./src/main/java/org/jfree/chart/entity/EntityCollection.java,13,86.32,5,9
./src/main/java/org/jfree/chart/entity/FlowEntity.java,38,63.46,2,12
./src/main/java/org/jfree/chart/entity/JFreeChartEntity.java,79,58.42,10,22
./src/main/java/org/jfree/chart/entity/LegendItemEntity.java,56,63.64,7,19
./src/main/java/org/jfree/chart/entity/NodeEntity.java,23,73.86,2,7
./src/main/java/org/jfree/chart/entity/PieSectionEntity.java,81,61.61,7,15
./src/main/java/org/jfree/chart/entity/PlotEntity.java,79,58.42,10,22
./src/main/java/org/jfree/chart/entity/StandardEntityCollection.java,86,54.74,8,19
./src/main/java/org/jfree/chart/entity/TickLabelEntity.java,10,82.46,3,7
./src/main/java/org/jfree/chart/entity/TitleEntity.java,79,58.42,10,23
./src/main/java/org/jfree/chart/entity/XYAnnotationEntity.java,35,65.35,3,12
./src/main/java/org/jfree/chart/entity/XYItemEntity.java,56,63.4,3,13
./src/main/java/org/jfree/chart/event/AnnotationChangeEvent.java,14,78.79,7,7
./src/main/java/org/jfree/chart/event/AnnotationChangeListener.java,6,88,5,8
./src/main/java/org/jfree/chart/event/AxisChangeEvent.java,12,80.65,3,7
./src/main/java/org/jfree/chart/event/AxisChangeListener.java,5,90.91,4,10
./src/main/java/org/jfree/chart/event/ChartChangeEvent.java,34,70.43,4,7
./src/main/java/org/jfree/chart/event/ChartChangeEventType.java,6,87.23,6,6
./src/main/java/org/jfree/chart/event/ChartChangeListener.java,5,90.38,5,8
./src/main/java/org/jfree/chart/event/ChartProgressEvent.java,35,69.57,4,7
./src/main/java/org/jfree/chart/event/ChartProgressEventType.java,5,88.89,3,6
./src/main/java/org/jfree/chart/event/ChartProgressListener.java,5,89.8,4,8
./src/main/java/org/jfree/chart/event/MarkerChangeEvent.java,12,80.95,5,7
./src/main/java/org/jfree/chart/event/MarkerChangeListener.java,6,88,5,8
./src/main/java/org/jfree/chart/event/PlotChangeEvent.java,12,81.25,3,7
./src/main/java/org/jfree/chart/event/PlotChangeListener.java,5,90,4,8
./src/main/java/org/jfree/chart/event/RendererChangeEvent.java,19,78.16,5,8
./src/main/java/org/jfree/chart/event/RendererChangeListener.java,5,89.8,4,8
./src/main/java/org/jfree/chart/event/TitleChangeEvent.java,12,80.33,3,7
./src/main/java/org/jfree/chart/event/TitleChangeListener.java,5,90,4,8
./src/main/java/org/jfree/chart/imagemap/DynamicDriveToolTipTagFragmentGenerator.java,20,76.74,3,11
./src/main/java/org/jfree/chart/imagemap/ImageMapUtils.java,123,48.54,6,38
./src/main/java/org/jfree/chart/imagemap/OverLIBToolTipTagFragmentGenerator.java,13,81.16,3,7
./src/main/java/org/jfree/chart/imagemap/StandardToolTipTagFragmentGenerator.java,12,81.54,3,8
./src/main/java/org/jfree/chart/imagemap/StandardURLTagFragmentGenerator.java,11,83.33,2,8
./src/main/java/org/jfree/chart/imagemap/ToolTipTagFragmentGenerator.java,4,93.44,4,9
./src/main/java/org/jfree/chart/imagemap/URLTagFragmentGenerator.java,8,87.1,4,9
./src/main/java/org/jfree/chart/internal/Args.java,34,70.18,3,22
./src/main/java/org/jfree/chart/internal/ArrayUtils.java,106,43.62,2,36
./src/main/java/org/jfree/chart/internal/CloneUtils.java,89,48.85,6,27
./src/main/java/org/jfree/chart/internal/HashUtils.java,65,66.15,7,13
./src/main/java/org/jfree/chart/internal/LineUtils.java,84,44.37,3,25
./src/main/java/org/jfree/chart/internal/PaintUtils.java,117,41.79,3,31
./src/main/java/org/jfree/chart/internal/SerialUtils.java,418,34.07,4,80
./src/main/java/org/jfree/chart/internal/ShapeUtils.java,262,46.42,5,61
./src/main/java/org/jfree/chart/JFreeChart.java,780,48.14,24,198
./src/main/java/org/jfree/chart/labels/AbstractCategoryItemLabelGenerator.java,135,52.8,12,61
./src/main/java/org/jfree/chart/labels/AbstractPieItemLabelGenerator.java,103,51.64,7,43
./src/main/java/org/jfree/chart/labels/AbstractXYItemLabelGenerator.java,155,50.79,10,84
./src/main/java/org/jfree/chart/labels/BoxAndWhiskerToolTipGenerator.java,52,60.9,5,27
./src/main/java/org/jfree/chart/labels/BoxAndWhiskerXYToolTipGenerator.java,57,59.86,3,28
./src/main/java/org/jfree/chart/labels/BubbleXYItemLabelGenerator.java,115,52.48,9,54
